epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,10481.3,0.73337,0.2794,0.77117,0.96225,0.79226,0.85911,0.62322,0.97533,0.32939,0.79397,0.0033175,0.0033175,0.0033175
110,10576.3,0.72678,0.27803,0.77274,0.9619,0.7932,0.86018,0.62338,0.97277,0.32799,0.79378,0.00325562,0.00325562,0.00325562
111,10666.1,0.72472,0.27675,0.77135,0.96688,0.79438,0.86201,0.62434,0.97301,0.32978,0.79359,0.00319375,0.00319375,0.00319375
112,10753,0.73657,0.27973,0.77013,0.97185,0.79327,0.86168,0.6233,0.97188,0.32827,0.79355,0.00313188,0.00313188,0.00313188
113,10840.3,0.73004,0.27831,0.77073,0.97071,0.79476,0.86062,0.6242,0.9728,0.32706,0.79344,0.00307,0.00307,0.00307
114,10924.7,0.72626,0.27594,0.77033,0.97142,0.79146,0.86121,0.62514,0.97388,0.32844,0.79356,0.00300812,0.00300812,0.00300812
115,11009.7,0.72244,0.27484,0.77033,0.96522,0.79441,0.86026,0.62544,0.97266,0.32731,0.7934,0.00294625,0.00294625,0.00294625
116,11108,0.7297,0.27651,0.76961,0.95787,0.79449,0.86113,0.62584,0.97028,0.32601,0.79338,0.00288438,0.00288438,0.00288438
117,11202.5,0.71198,0.27263,0.76978,0.95499,0.79577,0.86127,0.62537,0.96931,0.32651,0.79323,0.0028225,0.0028225,0.0028225
118,11291.1,0.71875,0.27421,0.77039,0.9533,0.79589,0.86109,0.62539,0.96814,0.32609,0.79325,0.00276063,0.00276063,0.00276063
119,11391.9,0.69824,0.26848,0.77145,0.95597,0.79586,0.8617,0.62807,0.96674,0.32475,0.79309,0.00269875,0.00269875,0.00269875
120,11478.3,0.71324,0.27149,0.76986,0.95952,0.79471,0.8628,0.6272,0.96657,0.32602,0.79298,0.00263687,0.00263687,0.00263687
121,11560.6,0.71156,0.27109,0.76852,0.95814,0.79293,0.86074,0.62636,0.96629,0.32557,0.79285,0.002575,0.002575,0.002575
122,11648.6,0.70635,0.27001,0.76907,0.95244,0.79607,0.86181,0.6264,0.96619,0.32595,0.79276,0.00251313,0.00251313,0.00251313
123,11746.7,0.70629,0.26978,0.76976,0.95773,0.79575,0.86303,0.62531,0.96594,0.3252,0.79261,0.00245125,0.00245125,0.00245125
124,11844.2,0.70172,0.26817,0.76922,0.9577,0.79545,0.8639,0.62648,0.96541,0.32559,0.79254,0.00238937,0.00238937,0.00238937
